district,code,name,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Beaufort County Schools,70311,Beaufort Co Early College High,53.1,A,>95,1
Brunswick County Schools,100307,Brunswick County Early College,46.8,A,>95,1
Buncombe County Schools,110500,Nesbitt Discovery Academy,22,A,>95,1
Catawba County Schools,180325,Challenger Early College High,37,A,>95,1
Cumberland County Schools,260354,Cross Creek Early College,61.4,A,>95,1
Cumberland County Schools,260700,Cumberland Polytechnic,51,A,>95,1
Durham Public Schools,320309,J D Clement Early College HS,53.6,A,>95,1
Gaston County Schools,360337,Gaston Early College High School,36.4,A,>95,1
Gaston County Schools,360418,Highland Sch of Technology,24.7,A,>95,1
Guilford County Schools,410341,Brown Summit Middle,16.9,A,>95,1
Guilford County Schools,410395,Early College at Guilford,6,A,>95,1
Guilford County Schools,410569,STEM Early College @ NC A&T SU,28.3,A,>95,1
Haywood County Schools,440346,Haywood Early College,45.1,A,>95,1
Henderson County Schools,450354,Henderson County Early College,44.6,A,>95,1
Iredell-Statesville Schools,490320,Collaborative College for Technology,25,A,>95,1
Iredell-Statesville Schools,490344,Mount Mourne School,<5,A,>95,1
Macon County Schools,560329,Macon Early College High School,30.1,A,>95,1
Montgomery County Schools,620350,Montgomery County Early College,48.9,A,>95,1
Onslow County Schools,670300,Onslow Early College,31.7,A,>95,1
Pender County Schools,710327,Pender Early College High,49.3,A,>95,1
Randolph County Schools,760354,Randolph Early College High,37.2,A,>95,1
Richmond County Schools,770349,Richmond Early College High,66.2,A,>95,1
Robeson County Schools,780385,PSRC Early College at RCC,62,A,>95,1
Rutherford County Schools,810385,Rutherford Early College High School,17.5,A,>95,1
Scotland County Schools,830348,Scotland Early College High,46.6,A,>95,1
Wake County Schools,920583,Wake Early College of Health and Science,28.3,A,>95,1
Wilkes County Schools,970393,Wilkes Early College High School,27.9,A,>95,1
Charter Schools,60F000,Metrolina Reg Scholars Academy,<5,A,>95,1
Charter Schools,92K000,Raleigh Charter High School,<5,A,>95,1
Charter Schools,92N000,Quest Academy,<5,A,>95,1
Charter Schools,06A000,Grandfather Academy,50,F,<5,1
Guilford County Schools,410398,Doris Henderson Newcomers Sch,40.8,F,<5,1
Nash-Rocky Mount Schools,640342,CITI High School,83.3,F,<5,1
Ashe County Schools,50303,Ashe County Early College High,36.7,A,95,1
Sampson County Schools,820324,Sampson Early College High,54.4,A,95,1
New Hanover County Schools,650340,Isaac M Bear Early College High School,35.4,A,94.8,1
Union County Public Schools,900366,Central Academy of Technology and Arts,15,A,94.6,1
Charter Schools,92D000,Magellan Charter,<5,A,94.4,1
Granville County Schools,390323,Granville Early College High,35.7,A,94.3,1
Union County Public Schools,900378,Weddington Middle,6,A,93.9,1
Iredell-Statesville Schools,490347,Northview School,25.6,A,93.8,1
Currituck County Schools,270311,The JP Knapp ECH (i)School,18.5,A,93.4,1
Union County Public Schools,900367,Union County Early College,28.2,A,93.4,1
Wake County Schools,920586,Wake Young Women's Leadership Academy,35.6,A,93.4,1
Davidson County Schools,290315,Davidson Early College,23.8,A,93.3,1
Caldwell County Schools,140309,Caldwell Early College,32.2,A,93.2,1
Union County Public Schools,900376,Weddington Elementary,<5,A,93.2,1
Iredell-Statesville Schools,490355,Crossroads Arts Sciences Early College,38,A,92.7,1
Union County Public Schools,900303,Rea View Elementary,<5,A,92.6,1
Union County Public Schools,900334,Marvin Elementary,<5,A,92.5,1
Union County Public Schools,900391,Marvin Ridge Middle,<5,A,92.2,1
Wake County Schools,920582,Wake STEM Early College High School,15.8,A,92.2,1
Union County Public Schools,900393,Marvin Ridge High,<5,A,92.1,1
Charter Schools,19B000,Woods Charter,<5,A,92.1,1
Charter Schools,92S000,Endeavor Charter,<5,A,92.1,1
New Hanover County Schools,650380,Walter L Parsley Elementary,19.1,A,92,1
Charlotte-Mecklenburg Schools,600507,Providence Spring Elementary,<5,A,91.4,1
New Hanover County Schools,650356,Ogden Elementary,18.3,A,91.3,1
Newton Conover City Schools,182700,Discovery High School,18.6,A,91.2,1
Wake County Schools,920390,Davis Drive Elementary,<5,A,91.1,1
Mitchell County Schools,610332,Mayland Early College,38.5,A,91,1
New Hanover County Schools,650408,Wrightsville Beach Elem,13.4,A,91,1
Wake County Schools,920502,Mills Park Middle,6.8,A,91,1
Charter Schools,63A000,The Academy of Moore County,16.3,A,90.7,1
Charlotte-Mecklenburg Schools,600431,Jay M Robinson Middle,8.9,A,90.6,1
Wake County Schools,920439,Green Hope Elementary,7,A,90.6,1
Chatham County Schools,190501,Chatham School of Science & Engineering,15,A,90.2,1
Forsyth County Schools,340362,Early College of Forsyth Co,18.2,A,90.2,1
Charlotte-Mecklenburg Schools,600571,Irwin Academic Center,22.1,A,90.2,1
Johnston County Schools,510367,Johnston Co Early College Academy,37.3,A,90.1,1
McDowell County Schools,590328,McDowell Early College,36.2,A,89.9,1
Union County Public Schools,900302,Antioch Elementary,7.2,A,89.9,1
Union County Public Schools,900328,Kensington Elementary,5.4,A,89.8,1
Wake County Schools,920501,Mills Park Elementary,6.1,A,89.7,1
Wake County Schools,920443,Highcroft Elementary,<5,A,89.6,1
Johnston County Schools,510325,Johnston County Schools Career Technical,35.6,A,89.5,1
Charter Schools,92T000,Triangle Math and Science Academy,5.5,A,89.5,1
Charter Schools,41B000,Greensboro Academy,7.6,A,89.4,1
Cabarrus County Schools,130350,Cabarrus-Kannapolis Early Coll,36.6,A,89.3,1
Union County Public Schools,900377,Weddington High,5.1,A,89.3,1
Cleveland County Schools,230322,Cleveland ECHS,46.7,A,89.2,1
Lenoir County Public Schools,540317,Lenoir County Early College High,55.4,A,89.2,1
Union County Public Schools,900305,New Town Elementary,<5,A,89.2,1
New Hanover County Schools,650394,Wilmington Early College High,48.6,A,89.1,1
Wake County Schools,920391,Davis Drive Middle,8.3,A,89,1
Lee County Schools,530335,Lee Early College,56.2,A,88.9,1
Pitt County Schools,740501,Innovation Early College High,56.6,A,88.9,1
Davie County Schools,300314,Davie County Early College High,43.9,A,88.8,1
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,9.6,A,88.7,1
Surry County Schools,860354,Surry Early College,60.7,A,88.7,1
Craven County Schools,250321,Early College EAST High,30.6,A,88.6,1
Carteret County Public Schools,160343,Marine Sci. & Tech. Early College HS,64.6,A,88.1,1
Union County Public Schools,900353,Sandy Ridge Elementary,5.8,A,88.1,1
Wilson County Schools,980398,Wilson Early College Academy,<5,A,88.1,1
Haywood County Schools,440332,Riverbend Elementary,41.7,A,88,1
Forsyth County Schools,340440,Meadowlark Elementary,22.4,A,87.8,1
Rockingham County Schools,790379,Rockingham Co Early College High,36.9,A,87.8,1
Charter Schools,68C000,The Expedition School,<5,A,87.8,1
Forsyth County Schools,340512,Sherwood Forest Elementary,15.6,A,87.7,1
Charlotte-Mecklenburg Schools,600451,McKee Road Elementary,14,A,87.7,1
Charlotte-Mecklenburg Schools,600508,Providence High,8.5,A,87.7,1
Union County Public Schools,900311,Cuthbertson High,<5,A,87.6,1
Charter Schools,81A000,Thomas Jefferson Class Academy,13.3,B,87.6,1
Greene County Schools,400315,Greene Early College High,56.7,A,87.5,1
Mooresville City Schools,491318,Rocky River Elementary,18.7,A,87.5,1
Charter Schools,60D000,Lake Norman Charter,<5,A,87.5,1
Charlotte-Mecklenburg Schools,600392,Polo Ridge Elementary,6.2,A,87.4,1
